Disposition,Orbital Period,Transit Duration,Transit Depth,Planet Radius,Star Eff. Temp,Stellar log,Star Radius
False Positive,2.1713484,2.0172196,656.8860989,5.8181633,10249.0000000,4.1900000,2.1698600
Planet Candidate,1.9316462,3.1660000,1286.0000000,11.2154000,7070.0000000,4.0300000,2.0100000
False Positive,1.8675574,1.4080000,1500.0000000,23.7529000,8924.0000000,,5.7300000
False Positive,2.7432300,3.1670000,383.4100000,,5388.5000000,4.1500000,
False Positive,3.5730141,3.3700000,755.0000000,11.3113000,9219.0000000,4.1400000,2.1500000
False Positive,4.5505945,2.6540000,3731.0000000,7.1084100,5613.0000000,,1.0900000
False Positive,2.5047918,4.3797563,2270.5402194,8.6950898,6616.0000000,,1.5342900
Planet Candidate,6.9989206,3.9530000,2840.0000000,14.7752000,6596.0000000,3.7100000,2.7000000
False Positive,2.0483755,2.7670000,483.0000000,3.1962100,6858.5000000,4.2000000,1.5700000
Planet Candidate,1.9600277,2.0065257,1707.6272693,,8868.7000000,,
False Positive,0.6808702,2.4634563,1507.8006889,5.9115908,9438.0000000,,1.0000000
Planet Candidate,2.4704981,2.1910000,250.0000000,1.4465600,5413.7000000,4.4600000,0.9400000
Planet Candidate,0.8841820,1.6210000,1890.0000000,24.8132000,8928.0000000,3.9200000,2.7200000
False Positive,5.4255548,3.9637474,14939.6342222,,8868.7000000,,
False Positive,1.4095184,0.9484999,2841.5103258,,9307.0000000,,
False Positive,1.3730466,2.5708515,1301.5065338,42.1479417,4897.0000000,,6.7996101
False Positive,12.6889415,7.9201001,3232.8527885,14.0608342,7601.0000000,4.3100000,1.5364100
False Positive,1.1042200,2.3700000,14177.7000000,21.0448000,6995.2000000,4.0700000,1.6100000
False Positive,4.9591200,2.5090000,7440.0000000,22.9123000,5889.0000000,3.8600000,2.0000000
Planet Candidate,5.2341008,3.7078139,20796.9416293,24.2931408,7645.0000000,4.3000000,1.5620300
False Positive,3.2889200,3.7930000,10518.9000000,,8734.2000000,4.1000000,
False Positive,1.9087900,1.9090000,618.4820000,3.3468800,6022.6000000,4.5200000,1.2200000
False Positive,1.3214483,3.4350000,2180.0000000,21.8839000,5050.8000000,3.5600000,2.9900000
False Positive,18.0157000,2.5240000,610.0000000,21.6440000,4709.0000000,,7.6100000
Planet Candidate,9.6837921,2.4006056,4238.2399008,,8598.7000000,,
False Positive,14.2628757,6.9350494,913.2067174,2.4765813,5690.0000000,4.5800000,0.8538980
Planet Candidate,3.2834565,1.5370000,1558.0000000,2.8764800,4272.0000000,4.6000000,0.6800000
Planet Candidate,11.0287500,2.7150000,1694.0000000,2.7658600,4272.0000000,4.6000000,0.6800000
Planet Candidate,5.0113292,1.0240000,1210.0000000,2.5231400,4272.0000000,4.6000000,0.6800000
False Positive,1.0160600,2.8430000,240.0000000,1.2070400,4634.0000000,4.6400000,0.6800000
False Positive,36.2221400,5.1070000,7170.0000000,,,,
False Positive,12.1246519,4.6120000,7279.0000000,17.6729000,4807.6000000,4.1700000,1.0700000
False Positive,5.6526230,3.4340000,1250.0000000,8.9435400,6415.4000000,3.9800000,1.9200000
Planet Candidate,5.6643704,3.8087395,3491.8232968,14.7738943,10395.0000000,4.1300000,2.3383701
False Positive,29.0160175,5.3450000,1389.0000000,6.7740600,6113.1000000,,2.0100000
False Positive,3.6404389,2.5339234,476.3077321,3.7025342,9810.0000000,4.4300000,1.6077600
Planet Candidate,6.0744477,2.4954821,5982.5212406,30.9493217,5964.0000000,3.7000000,2.4303801
Planet Candidate,3.7795212,2.9520000,2761.0000000,5.9837500,5771.0000000,4.3100000,1.1800000
False Positive,1.2025238,1.9910000,390.0000000,6.3110600,9158.0000000,4.3200000,1.7400000
False Positive,3.2235985,2.1590000,680.0000000,5.5134100,8904.0000000,4.0900000,2.1700000
Planet Candidate,4.4201250,3.9560000,2466.0000000,,,,
False Positive,2.5555500,1.5660000,340.0000000,11.5901000,10037.0000000,,6.0400000
False Positive,8.3079200,3.2280000,8350.0000000,43.1068000,9081.0000000,3.8300000,3.0500000
Planet Candidate,0.7580820,1.8184632,583.9318100,10.1273702,9917.0000000,3.7500000,3.5086601
False Positive,1.4415577,2.3490000,507.0000000,3.6107800,6902.0000000,4.2500000,1.5200000
Planet Candidate,1.0085089,1.6420000,3051.0000000,,5215.2000000,,
False Positive,3.7039994,4.2770000,7590.0000000,17.5700000,7013.8000000,4.2100000,1.9000000
False Positive,1.3042553,1.7060000,914.0000000,9.3647200,6762.0000000,4.1100000,1.7500000
False Positive,0.6262700,0.6660000,1880.0000000,5.7216200,5622.0000000,4.5000000,0.9300000
False Positive,0.3041200,0.7480000,1330.0000000,10.4170000,11892.0000000,4.1400000,2.5200000
Confirmed Planet,9.1398040,3.0912936,358.4157801,3.0629855,5958.2000000,4.3400000,1.5800000
False Positive,5.7426250,2.8602930,1105.7608670,13.0885320,5664.0000000,3.2657400,3.8695900
Confirmed Planet,15.5077855,4.5650000,513.0000000,2.4343200,6122.0000000,4.3088100,1.1700000
Confirmed Planet,17.4713078,4.4284819,1199.7541483,3.5766828,5783.5400000,4.4992500,0.9746690
Planet Candidate,5.3079507,3.2158594,391.3830934,3.0486928,6124.3000000,4.3800000,1.3696300
Planet Candidate,51.1701501,6.6641048,851.4547808,2.9366826,5599.0000000,4.4613800,0.9433560
